sp_id1,gen
2017,unclassified Rhodocyclaceae
2018,Dechloromonas
2020,Azoarcus
2027,Thauera
2032,unclassified Zoogloeaceae
2033,Candidatus Accumulibacter
2034,Candidatus Tremblaya
2037,Candidatus Kinetoplastibacterium
2045,Candidatus Profftella
2046,Candidatus Nasuia
2047,Candidatus Vidania
2049,unclassified Betaproteobacteria
2051,Helicobacter
2125,Wolinella
2126,Sulfurimonas
2128,Sulfuricurvum
2130,Campylobacter
2196,Arcobacter
2202,Arcobacter group
2204,Sulfurospirillum
2210,Hydrogenimonas
2211,Nitratifractor
2212,Nitratiruptor
2213,Sulfurovum
2215,Nautilia
2216,Geobacter
2227,Geoalkalibacter
2228,Pelobacter
2232,Desulfuromonas
2234,Desulfovibrio
2243,Desulfocurvibacter
2251,Pseudodesulfovibrio
2255,Lawsonia
2257,Desulfomicrobium
2259,Desulfohalobium
2260,Desulfotalea
2261,Desulfurivibrio
2262,Desulfobulbus
2264,Desulfocapsa
2265,Desulfococcus
2267,Desulfatibacillum
2268,Desulfobacterium
2269,Desulfobacula
2270,Anaeromyxobacter
2274,Myxococcus
2279,Corallococcus
2280,Stigmatella
2281,Archangium
2282,Melittangium
2283,Cystobacter
2284,Vulgatibacter
2285,Sorangium
2287,Chondromyces
2288,Sandaracinus
2289,Labilithrix
2290,Minicystis
2291,Haliangium
2292,Syntrophus
2293,Desulfobacca
2294,Desulfomonile
2295,Syntrophobacter
2296,Desulfarculus
2297,Hippea
2298,Desulfurella
2299,Bradymonas
2300,Bdellovibrio
2305,Halobacteriovorax
2307,Bacteriovorax
2308,Rickettsia
2355,Orientia
2357,Candidatus Phycorickettsia
2358,Wolbachia
2367,Anaplasma
2377,Ehrlichia
2391,Neorickettsia
2394,Candidatus Midichloria
2395,Candidatus Fokinia
2396,unclassified Rickettsiales
2398,Candidatus Paracaedibacter
2399,Candidatus Paracaedimonas
2400,Candidatus Nucleicultrix
2401,unclassified Holosporaceae
2402,Mesorhizobium
2410,Chelativorans
2411,Hoeflea
2412,Aminobacter
2414,Phyllobacterium
2415,Parvibaculum
2416,unclassified Rhodobiaceae
2417,Sinorhizobium
2432,Ensifer
2435,Agrobacterium
2443,Rhizobium
2464,Neorhizobium
2472,Liberibacter
2475,Shinella
2476,Brucella
2519,Ochrobactrum
2523,Bradyrhizobium
2537,Rhodopseudomonas
2544,Nitrobacter
2546,Oligotropha
2549,Bosea
2553,Variibacter
2554,Bartonella
2574,Xanthobacter
2575,Azorhizobium
2576,Starkeya
2577,Methylorubrum
2583,Methylobacterium
2594,Microvirga
2596,Beijerinckia
2597,Methylocella
2598,Methylovirgula
2599,Chelatococcus
2601,Hyphomicrobium
2605,Rhodomicrobium
2606,Pelagibacterium
2607,Filomicrobium
2609,Devosia
2611,Blastochloris
2613,Rhodoplanes
2614,Maritalea
2615,Methylocystis
2618,Methylosinus
2619,Pleomorphomonas
2620,Martelella
2623,Aureimonas
2624,Breoghania
2625,Candidatus Hodgkinia
2629,Methyloceanibacter
2630,Candidatus Tokpelaia
2631,Pseudorhodoplanes
2632,Hartmannibacter
2633,unclassified Rhizobiales
2634,Caulobacter
2641,Phenylobacterium
2643,Brevundimonas
2649,Asticcacaulis
2650,unclassified Caulobacteraceae
2651,Ruegeria
2653,Salicibibacter
2655,Epibacterium
2656,Rhodobacter
2663,Jannaschia
2664,Roseobacter
2666,Paracoccus
2676,Dinoroseobacter
2677,Ketogulonicigenium
2680,Pseudovibrio
2681,Phaeobacter
2687,Octadecabacter
2690,Leisingera
2692,Roseibacterium
2693,Planktomarina
2694,Celeribacter
2698,Marinovum
2699,Confluentimicrobium
2700,Rhodovulum
2703,Pannonibacter
2704,Halocynthiibacter
2705,Labrenzia
2708,Defluviimonas
2709,Yangia
2711,Sulfitobacter
2716,Marivivens
2717,Salipiger
2718,Tateyamaria
2719,Pelagibaca
2720,Thioclava
2721,Roseovarius
2723,Yoonia
2724,Antarctobacter
2725,Rhodobaca
2726,Sagittula
2727,unclassified Rhodobacteraceae
2728,Thalassococcus
2729,Gemmobacter
2730,Tabrizicola
2731,Silicimonas
2732,Sedimentitalea
2734,Maricaulis
2735,Hyphomonas
2736,Hirschia
2737,Glycocaulis
2738,unclassified Hyphomonadaceae
2739,Zymomonas
2747,Novosphingobium
2754,Sphingopyxis
2765,Sphingomonas
2777,Tardibacter
2782,Sphingobium
2795,Citromicrobium
2796,Sphingorhabdus
2799,Blastomonas
2801,Rhizorhabdus
2802,Sphingosinicella
2804,Erythrobacter
2811,Altererythrobacter
2817,Croceicoccus
